gtfs_id,vehicle_no,service_sub_types
chennai_bus,J0227,"[""ORDI""]"
chennai_bus,J0228,"[""ORDI""]"
chennai_bus,J0229,"[""ORDI""]"
chennai_bus,J0230,"[""ORDI""]"
chennai_bus,J0231,"[""ORDI""]"
chennai_bus,J0232,"[""ORDI""]"
chennai_bus,J0233,"[""ORDI""]"
chennai_bus,J0234,"[""ORDI""]"
chennai_bus,J0235,"[""ORDI""]"
chennai_bus,J0236,"[""ORDI""]"
chennai_bus,J0237,"[""ORDI""]"
chennai_bus,J0238,"[""ORDI""]"
chennai_bus,J0239,"[""ORDI""]"
chennai_bus,J0240,"[""ORDI""]"
chennai_bus,J0241,"[""ORDI""]"
chennai_bus,J0242,"[""ORDI""]"
chennai_bus,J0243,"[""ORDI""]"
chennai_bus,J0244,"[""ORDI""]"
chennai_bus,J0245,"[""ORDI""]"
chennai_bus,J0246,"[""ORDI""]"
chennai_bus,J0247,"[""ORDI""]"
chennai_bus,J0248,"[""ORDI""]"
chennai_bus,J0249,"[""ORDI""]"
chennai_bus,J0250,"[""MINI""]"
chennai_bus,J0251,"[""MINI""]"
chennai_bus,J0253,"[""MINI""]"
chennai_bus,J0254,"[""MINI""]"
chennai_bus,J0255,"[""MINI""]"
chennai_bus,J0256,"[""MINI""]"
chennai_bus,J0257,"[""MINI""]"
chennai_bus,J0258,"[""MINI""]"
chennai_bus,J0259,"[""MINI""]"
chennai_bus,J0261,"[""MINI""]"
chennai_bus,J0262,"[""MINI""]"
chennai_bus,J0263,"[""MINI""]"
chennai_bus,J0264,"[""MINI""]"
chennai_bus,J0265,"[""MINI""]"
chennai_bus,J0266,"[""MINI""]"
chennai_bus,J0268,"[""MINI""]"
chennai_bus,J0272,"[""MINI""]"
chennai_bus,J0273,"[""MINI""]"
chennai_bus,J0275,"[""MINI""]"
chennai_bus,J0279,"[""MINI""]"
chennai_bus,J0280,"[""MINI""]"
chennai_bus,J0283,"[""MINI""]"
chennai_bus,J0284,"[""MINI""]"
chennai_bus,J0285,"[""MINI""]"
chennai_bus,J0286,"[""MINI""]"
chennai_bus,J0287,"[""MINI""]"
chennai_bus,J0288,"[""MINI""]"
chennai_bus,J0289,"[""MINI""]"
chennai_bus,J0293,"[""MINI""]"
chennai_bus,J0294,"[""MINI""]"
chennai_bus,J0296,"[""MINI""]"
chennai_bus,J0299,"[""MINI""]"
chennai_bus,J0301,"[""MINI""]"
chennai_bus,J0304,"[""MINI""]"
chennai_bus,J0306,"[""MINI""]"
chennai_bus,J0307,"[""MINI""]"
chennai_bus,J0309,"[""MINI""]"
chennai_bus,J0310,"[""MINI""]"
chennai_bus,J0311,"[""MINI""]"
chennai_bus,J0312,"[""MINI""]"
chennai_bus,J0313,"[""MINI""]"
chennai_bus,J0314,"[""MINI""]"
chennai_bus,J0315,"[""MINI""]"
chennai_bus,J0317,"[""MINI""]"
chennai_bus,J0319,"[""MINI""]"
chennai_bus,J0321,"[""MINI""]"
chennai_bus,J0322,"[""MINI""]"
chennai_bus,J0323,"[""MINI""]"
chennai_bus,J0325,"[""MINI""]"
chennai_bus,J0328,"[""MINI""]"
chennai_bus,J0329,"[""MINI""]"
chennai_bus,J0336,"[""MINI""]"
chennai_bus,J0337,"[""MINI""]"
chennai_bus,J0338,"[""MINI""]"
chennai_bus,J0340,"[""MINI""]"
chennai_bus,J0342,"[""MINI""]"
chennai_bus,J0343,"[""MINI""]"
chennai_bus,J0344,"[""MINI""]"
chennai_bus,J0346,"[""MINI""]"
chennai_bus,J0347,"[""MINI""]"
chennai_bus,J0348,"[""MINI""]"
chennai_bus,J0351,"[""ORDI""]"
chennai_bus,J0353,"[""ORDI""]"
chennai_bus,J0354,"[""ORDI""]"
chennai_bus,J0355,"[""ORDI""]"
chennai_bus,J0357,"[""ORDI""]"
chennai_bus,J0360,"[""ORDI""]"
chennai_bus,J0371,"[""ORDI""]"
chennai_bus,J0372,"[""ORDI""]"
chennai_bus,J0373,"[""ORDI""]"
chennai_bus,J0374,"[""ORDI""]"
chennai_bus,J0375,"[""ORDI""]"
chennai_bus,J0376,"[""ORDI""]"
chennai_bus,J0377,"[""ORDI""]"
chennai_bus,J0378,"[""ORDI""]"
chennai_bus,J0379,"[""ORDI""]"
chennai_bus,J0380,"[""ORDI""]"
chennai_bus,J0381,"[""ORDI""]"
chennai_bus,J0382,"[""ORDI""]"
chennai_bus,J0383,"[""ORDI""]"
chennai_bus,J0384,"[""ORDI""]"
chennai_bus,J0386,"[""ORDI""]"
chennai_bus,J0387,"[""ORDI""]"
chennai_bus,J0388,"[""ORDI""]"
chennai_bus,J0389,"[""ORDI""]"
chennai_bus,J0390,"[""ORDI""]"
chennai_bus,J0391,"[""ORDI""]"
chennai_bus,J0392,"[""ORDI""]"
chennai_bus,J0393,"[""ORDI""]"
chennai_bus,J0394,"[""ORDI""]"
chennai_bus,J0395,"[""ORDI""]"
chennai_bus,J0396,"[""ORDI""]"
chennai_bus,J0397,"[""ORDI""]"
chennai_bus,J0398,"[""ORDI""]"
chennai_bus,J0399,"[""ORDI""]"
chennai_bus,J0400,"[""ORDI""]"
chennai_bus,J0401,"[""ORDI""]"
chennai_bus,J0402,"[""ORDI""]"
chennai_bus,J0403,"[""ORDI""]"
chennai_bus,J0404,"[""ORDI""]"
chennai_bus,J0405,"[""ORDI""]"
chennai_bus,J0406,"[""ORDI""]"
chennai_bus,J0407,"[""ORDI""]"
chennai_bus,J0408,"[""ORDI""]"
chennai_bus,J0409,"[""ORDI""]"
chennai_bus,J0410,"[""ORDI""]"
chennai_bus,J0411,"[""ORDI""]"
chennai_bus,J0412,"[""ORDI""]"
