gtfs_id,fleet_id,service_type,capacity,vehicle_type
chennai_bus,I1917,Ordinary,10,BUS
chennai_bus,I1918,Ordinary,10,BUS
chennai_bus,I1919,Ordinary,10,BUS
chennai_bus,I1920,Ordinary,10,BUS
chennai_bus,I1921,Ordinary,10,BUS
chennai_bus,I1922,Ordinary,10,BUS
chennai_bus,I1923,A/C EV,10,BUS
chennai_bus,I1926,Ordinary,10,BUS
chennai_bus,I1927,Ordinary,10,BUS
chennai_bus,I1928,Deluxe,10,BUS
chennai_bus,I1931,Ordinary,10,BUS
chennai_bus,I1935,Ordinary,10,BUS
chennai_bus,I1938,Ordinary,10,BUS
chennai_bus,I1939,Deluxe,10,BUS
chennai_bus,I1941,Ordinary,10,BUS
chennai_bus,I1942,Ordinary,10,BUS
chennai_bus,I1944,Ordinary,10,BUS
chennai_bus,I1945,Ordinary,10,BUS
chennai_bus,I1947,Ordinary,10,BUS
chennai_bus,I1948,Ordinary,10,BUS
chennai_bus,I1949,Ordinary,10,BUS
chennai_bus,I1950,Ordinary,10,BUS
chennai_bus,I1951,Deluxe,10,BUS
chennai_bus,I1953,Ordinary,10,BUS
chennai_bus,I1954,Ordinary,10,BUS
chennai_bus,I1955,Ordinary,10,BUS
chennai_bus,I1957,Ordinary,10,BUS
chennai_bus,I1958,Ordinary,10,BUS
chennai_bus,I1960,Ordinary,10,BUS
chennai_bus,I1961,Ordinary,10,BUS
chennai_bus,I1963,Ordinary,10,BUS
chennai_bus,I1965,Ordinary,10,BUS
chennai_bus,I1966,Ordinary,10,BUS
chennai_bus,I1967,Deluxe,10,BUS
chennai_bus,I1970,Ordinary,10,BUS
chennai_bus,I1971,Ordinary,10,BUS
chennai_bus,I1972,Ordinary,10,BUS
chennai_bus,I1979,Deluxe,10,BUS
chennai_bus,I1980,Ordinary,10,BUS
chennai_bus,I1981,Deluxe,10,BUS
chennai_bus,I1983,Deluxe,10,BUS
chennai_bus,I1984,Ordinary,10,BUS
chennai_bus,I1987,Deluxe,10,BUS
chennai_bus,I1990,Ordinary,10,BUS
chennai_bus,I1992,Deluxe,10,BUS
chennai_bus,I1995,Ordinary,10,BUS
chennai_bus,I1996,Ordinary,10,BUS
chennai_bus,I1998,Ordinary,10,BUS
chennai_bus,I1999,Ordinary,10,BUS
chennai_bus,I2000,Ordinary,10,BUS
chennai_bus,I2021,Ordinary,10,BUS
chennai_bus,I2022,Ordinary,10,BUS
chennai_bus,I2025,Ordinary,10,BUS
chennai_bus,I2026,Ordinary,10,BUS
chennai_bus,I2027,Ordinary,10,BUS
chennai_bus,I2028,Ordinary,10,BUS
chennai_bus,I2029,Ordinary,10,BUS
chennai_bus,I2033,Ordinary,10,BUS
chennai_bus,I2034,Ordinary,10,BUS
chennai_bus,I2035,Ordinary,10,BUS
chennai_bus,I2039,Ordinary,10,BUS
chennai_bus,I2042,Ordinary,10,BUS
chennai_bus,I2043,Ordinary,10,BUS
chennai_bus,I2044,Ordinary,10,BUS
chennai_bus,I2045,Ordinary,10,BUS
chennai_bus,I2046,Ordinary,10,BUS
chennai_bus,I2047,Ordinary,10,BUS
chennai_bus,I2048,Ordinary,10,BUS
chennai_bus,I2049,Ordinary,10,BUS
chennai_bus,I2050,Ordinary,10,BUS
chennai_bus,I2053,Ordinary,10,BUS
chennai_bus,I2054,Ordinary,10,BUS
chennai_bus,I2055,Ordinary,10,BUS
chennai_bus,I2056,Ordinary,10,BUS
chennai_bus,I2057,Ordinary,10,BUS
chennai_bus,I2061,Deluxe,10,BUS
chennai_bus,I2062,Ordinary,10,BUS
chennai_bus,I2063,Ordinary,10,BUS
chennai_bus,I2066,Ordinary,10,BUS
chennai_bus,I2069,Deluxe,10,BUS
chennai_bus,I2070,Ordinary,10,BUS
chennai_bus,I2071,Ordinary,10,BUS
chennai_bus,I2072,Ordinary,10,BUS
chennai_bus,I2073,Ordinary,10,BUS
chennai_bus,I2263,Ordinary,10,BUS
chennai_bus,I2269,Express,10,BUS
chennai_bus,I2292,Ordinary,10,BUS
chennai_bus,I2307,Ordinary,10,BUS
chennai_bus,I2316,Ordinary,10,BUS
chennai_bus,I2351,Ordinary,10,BUS
