gtfs_id,vehicle_no,short_name
bhubaneshwar_bus,OD33U7354,O7354
bhubaneshwar_bus,OD33U7355,O7355
bhubaneshwar_bus,OD33U7356,O7356
bhubaneshwar_bus,OD33U7357,O7357
bhubaneshwar_bus,OD33U7358,O7358
bhubaneshwar_bus,OD33U7359,O7359
bhubaneshwar_bus,OD33U7360,O7360
bhubaneshwar_bus,OD33U7361,O7361
bhubaneshwar_bus,OD33U7362,O7362
bhubaneshwar_bus,OD33U7363,O7363
bhubaneshwar_bus,OD33U7364,O7364
bhubaneshwar_bus,OD33U7365,O7365
bhubaneshwar_bus,OD33U7366,O7366
bhubaneshwar_bus,OD33U7367,O7367
bhubaneshwar_bus,OD33U7368,O7368
bhubaneshwar_bus,OD33U7369,O7369
bhubaneshwar_bus,OD33U7370,O7370
bhubaneshwar_bus,OD33W1271,O1271
bhubaneshwar_bus,OD33V8101,O8101
bhubaneshwar_bus,OD33V8102,O8102
bhubaneshwar_bus,OD33V8103,O8103
bhubaneshwar_bus,OD02BJ9388,O9388
bhubaneshwar_bus,OD02BJ9389,O9389
bhubaneshwar_bus,OD02BJ9390,O9390
bhubaneshwar_bus,OD02BJ9391,O9391
bhubaneshwar_bus,OD02BJ9392,O9392
bhubaneshwar_bus,OD02BJ9394,O9394
bhubaneshwar_bus,OD02BJ9397,O9397
bhubaneshwar_bus,OD02BJ9398,O9398
bhubaneshwar_bus,OD02BJ9399,O9399
bhubaneshwar_bus,OD02BJ9401,O9401
bhubaneshwar_bus,OD02BJ9402,O9402
bhubaneshwar_bus,OD02BJ9403,O9403
bhubaneshwar_bus,OD02BJ9404,O9404
bhubaneshwar_bus,OD02BJ9405,O9405
bhubaneshwar_bus,OD02BJ9406,O9406
bhubaneshwar_bus,OD02BJ9407,O9407
bhubaneshwar_bus,OD02BJ9408,O9408
bhubaneshwar_bus,OD02BJ9409,O9409
bhubaneshwar_bus,OD02BJ9410,O9410
bhubaneshwar_bus,OD02BJ9411,O9411
bhubaneshwar_bus,OD02BJ9412,O9412
bhubaneshwar_bus,OD02BJ9413,O9413
bhubaneshwar_bus,OD02BJ9414,O9414
bhubaneshwar_bus,OD02BJ9415,O9415
bhubaneshwar_bus,OD02BJ9416,O9416
bhubaneshwar_bus,OD05W6512,O6512
bhubaneshwar_bus,OD05W6513,O6513
bhubaneshwar_bus,OD05W6514,O6514
bhubaneshwar_bus,OD05W6515,O6515
bhubaneshwar_bus,OD05W6516,O6516
bhubaneshwar_bus,OD05W6517,D6517
bhubaneshwar_bus,OD05W6518,D6518
bhubaneshwar_bus,OD05W6519,D6519
bhubaneshwar_bus,OD05W6532,D6532
bhubaneshwar_bus,OD05W6533,D6533
bhubaneshwar_bus,OD05T7033,O7033
bhubaneshwar_bus,OD05T7034,O7034
bhubaneshwar_bus,OD05T7035,O7035
bhubaneshwar_bus,OD05T7036,O7036
bhubaneshwar_bus,OD05T7037,O7037
bhubaneshwar_bus,OD05T7038,O7038
bhubaneshwar_bus,OD05T7039,O7039
bhubaneshwar_bus,OD05T7040,O7040
bhubaneshwar_bus,OD05T7041,O7041
bhubaneshwar_bus,OD05T7042,O7042
bhubaneshwar_bus,OD05T7050,O7050
bhubaneshwar_bus,OD05T7051,O7051
bhubaneshwar_bus,OD05T7052,O7052
bhubaneshwar_bus,OD05T7053,O7053
bhubaneshwar_bus,OD05T7054,O7054
bhubaneshwar_bus,OD05T7055,O7055
bhubaneshwar_bus,OD05T7056,O7056
bhubaneshwar_bus,OD05T7057,O7057
bhubaneshwar_bus,OD05T7058,O7058
bhubaneshwar_bus,OD05T7059,O7059
bhubaneshwar_bus,OD33AF0739,O0739
bhubaneshwar_bus,OD33AF0799,O0799
bhubaneshwar_bus,OD33AF1828,O1828
bhubaneshwar_bus,OD33AF1894,O1894
bhubaneshwar_bus,OD33AF1895,O1895
bhubaneshwar_bus,OD33AF4115,O4115
bhubaneshwar_bus,OD33AF4121,O4121
bhubaneshwar_bus,OD33AF4169,O4169
bhubaneshwar_bus,OD33AF4184,O4184
bhubaneshwar_bus,OD33AF4188,O4188
bhubaneshwar_bus,OD33AG9203,O9203
bhubaneshwar_bus,OD33AG9213,O9213
bhubaneshwar_bus,OD33AG9217,O9217
bhubaneshwar_bus,OD33AG9227,O9227
bhubaneshwar_bus,OD33AG9239,O9239
bhubaneshwar_bus,OD33AG9241,O9241
bhubaneshwar_bus,OD33AG9249,O9249
bhubaneshwar_bus,OD33AG9256,O9256
bhubaneshwar_bus,OD33AG9258,O9258
bhubaneshwar_bus,OD33AG9296,O9296
bhubaneshwar_bus,OD33AH0105,O0105
bhubaneshwar_bus,OD33AH0148,O0148
bhubaneshwar_bus,OD33AH0150,O0150
bhubaneshwar_bus,OD33AH0158,O0158
bhubaneshwar_bus,OD33AH0162,O0162
bhubaneshwar_bus,OD33AH0168,O0168
bhubaneshwar_bus,OD33AH0173,O0173
bhubaneshwar_bus,OD33AH0176,O0176
bhubaneshwar_bus,OD33AH0186,O0186
bhubaneshwar_bus,OD33AH0194,O0194
bhubaneshwar_bus,OD33AH0713,O0713
bhubaneshwar_bus,OD33AH0721,O0721
bhubaneshwar_bus,OD33AH0742,O0742
bhubaneshwar_bus,OD33AH0763,O0763
bhubaneshwar_bus,OD33AH0779,O0779
bhubaneshwar_bus,OD33AJ2401,D2401
bhubaneshwar_bus,OD33AJ2408,D2408
bhubaneshwar_bus,OD33AJ2438,O2438
bhubaneshwar_bus,OD33AJ2467,O2467
bhubaneshwar_bus,OD33AJ2469,O2469
bhubaneshwar_bus,OD33AJ2477,O2477
bhubaneshwar_bus,OD33AJ2480,O2480
bhubaneshwar_bus,OD33AJ2628,O2628
bhubaneshwar_bus,OD33AJ2640,O2640
bhubaneshwar_bus,OD33AJ2647,O2647
bhubaneshwar_bus,OD33AJ2671,O2671
bhubaneshwar_bus,OD33AJ2694,O2694
bhubaneshwar_bus,OD33AJ2808,O2808
bhubaneshwar_bus,OD33AJ2954,O2954
bhubaneshwar_bus,OD33AJ2974,O2974
bhubaneshwar_bus,OD14AB6501,O6501
bhubaneshwar_bus,OD14AB6519,I6519
bhubaneshwar_bus,OD14AB6536,D6536
bhubaneshwar_bus,OD14AB6541,D6541
bhubaneshwar_bus,OD14AB6545,D6545
bhubaneshwar_bus,OD14AB6551,O6551
bhubaneshwar_bus,OD14AB6558,O6558
bhubaneshwar_bus,OD14AB6580,O6580
bhubaneshwar_bus,OD14AB6584,O6584
bhubaneshwar_bus,OD14AB6587,O6587
bhubaneshwar_bus,OD14AB6594,O6594
bhubaneshwar_bus,OD14AB6596,O6596
bhubaneshwar_bus,OD14AB6599,O6599
bhubaneshwar_bus,OD14AB6615,O6615
bhubaneshwar_bus,OD14AB6635,O6635
bhubaneshwar_bus,OD14AB6636,O6636
bhubaneshwar_bus,OD14AB6647,O6647
bhubaneshwar_bus,OD14AB6652,O6652
bhubaneshwar_bus,OD14AB6654,O6654
bhubaneshwar_bus,OD14AB6665,O6665
bhubaneshwar_bus,OD14AB6676,O6676
bhubaneshwar_bus,OD14AB6677,O6677
bhubaneshwar_bus,OD14AB6682,O6682
bhubaneshwar_bus,OD14AB6683,O6683
bhubaneshwar_bus,OD14AB6697,O6697
bhubaneshwar_bus,OD14AB7299,O7299
bhubaneshwar_bus,OD14AB7239,O7239
bhubaneshwar_bus,OD14AB7110,D7110
bhubaneshwar_bus,OD14AB7178,O7178
bhubaneshwar_bus,OD14AB7146,O7146
bhubaneshwar_bus,OD14AB8620,O8620
bhubaneshwar_bus,OD14AB8692,O8692
bhubaneshwar_bus,OD14AB8673,O8673
bhubaneshwar_bus,OD14AB8602,O8602
bhubaneshwar_bus,OD14AB8607,O8607
bhubaneshwar_bus,OD14AC0051,O0051
bhubaneshwar_bus,OD14AC0031,O0031
bhubaneshwar_bus,OD14AC0029,O0029
bhubaneshwar_bus,OD14AC0083,O0083
bhubaneshwar_bus,OD14AC0025,O0025
bhubaneshwar_bus,OD14AC0048,O0048
bhubaneshwar_bus,OD14AC0032,O0032
bhubaneshwar_bus,OD14AB9958,O9958
bhubaneshwar_bus,OD14AB9967,O9967
bhubaneshwar_bus,OD14AB9916,O9916
bhubaneshwar_bus,OD14AB9923,O9923
bhubaneshwar_bus,OD14AB9940,O9940
bhubaneshwar_bus,OD14AB9962,O9962
bhubaneshwar_bus,OD14AB9945,O9945
bhubaneshwar_bus,OD14AC0389,O0389
bhubaneshwar_bus,OD14AC0346,O0346
bhubaneshwar_bus,OD14AC0327,O0327
bhubaneshwar_bus,OD14AC1209,O1209
bhubaneshwar_bus,OD14AC1360,O1360
bhubaneshwar_bus,OD14AC1219,O1219
bhubaneshwar_bus,OD14AC1258,O1258
bhubaneshwar_bus,OD14AC1304,O1304
bhubaneshwar_bus,OD14AC1359,O1359
bhubaneshwar_bus,OD14AC1358,O1358
bhubaneshwar_bus,OD14AC1372,O1372
bhubaneshwar_bus,OD14AC1336,O1336
bhubaneshwar_bus,OD14AC1920,O1920
bhubaneshwar_bus,OD14AC1930,O1930
